Channel Id,Channel Url,Channel Title
UCFQMnBA3CS502aghlcr0_aw,http://www.youtube.com/channel/UCFQMnBA3CS502aghlcr0_aw,Coffeezilla
UCG1h-Wqjtwz7uUANw6gazRw,http://www.youtube.com/channel/UCG1h-Wqjtwz7uUANw6gazRw,Lindsay Ellis
UCG9ShGbASoiwHwFcLcAh9EA,http://www.youtube.com/channel/UCG9ShGbASoiwHwFcLcAh9EA,SEA
UCGl7qkMPao3EBkxIDlPal4g,http://www.youtube.com/channel/UCGl7qkMPao3EBkxIDlPal4g,Puzzle guy
UCI7H1H_8lnxonZ1vIyfvAcg,http://www.youtube.com/channel/UCI7H1H_8lnxonZ1vIyfvAcg,Wrestling With Gaming
UCINPrA29M9AjFecew1l_8Dw,http://www.youtube.com/channel/UCINPrA29M9AjFecew1l_8Dw,Blues Rock
UCIfdf90ctybSVAL3x1-2cZw,http://www.youtube.com/channel/UCIfdf90ctybSVAL3x1-2cZw,Caitlin Reilly
UCJ0-OtVpF0wOKEqT2Z1HEtA,http://www.youtube.com/channel/UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM
UCJ6z_yj_dDNrhn-c8ZyKV4g,http://www.youtube.com/channel/UCJ6z_yj_dDNrhn-c8ZyKV4g,TheGamerFromMars
UCKF5151a6yAooOILrYTvfJg,http://www.youtube.com/channel/UCKF5151a6yAooOILrYTvfJg,Taki Udon
UCKlUrYO3i9MDlL45Ia6j5EA,http://www.youtube.com/channel/UCKlUrYO3i9MDlL45Ia6j5EA,GmanLives
UCLx053rWZxCiYWsBETgdKrQ,http://www.youtube.com/channel/UCLx053rWZxCiYWsBETgdKrQ,LGR
UCMdRkv2RbyjYi5qDazu4GMg,http://www.youtube.com/channel/UCMdRkv2RbyjYi5qDazu4GMg,Meerkat Ink
UCN5xN8gIljvWYnsj06V8WbQ,http://www.youtube.com/channel/UCN5xN8gIljvWYnsj06V8WbQ,Pyrocynical
UCNqNkZ7kKfqimqHkgbWMNYA,http://www.youtube.com/channel/UCNqNkZ7kKfqimqHkgbWMNYA,Launch Pad Astronomy
UCOIH-vSY5dondxnPMT7QdDA,http://www.youtube.com/channel/UCOIH-vSY5dondxnPMT7QdDA,GameBoyle
UCOWcZ6Wicl-1N34H0zZe38w,http://www.youtube.com/channel/UCOWcZ6Wicl-1N34H0zZe38w,Level1Linux
UCOxmlaJURX3nq8eLuJPbl3A,http://www.youtube.com/channel/UCOxmlaJURX3nq8eLuJPbl3A,Psivewri
UCPIBtu2SBuW_VFHwKwDOtYg,http://www.youtube.com/channel/UCPIBtu2SBuW_VFHwKwDOtYg,minimme
UCPap5skbnRGd6k90OZFmS7A,http://www.youtube.com/channel/UCPap5skbnRGd6k90OZFmS7A,Finlay Christie
UCPdaxSov0mgwh77JvjQO2jQ,http://www.youtube.com/channel/UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing
UCQDhxkSxZA6lxdeXE19aoRA,http://www.youtube.com/channel/UCQDhxkSxZA6lxdeXE19aoRA,Hugh Jeffreys
UCQLgTk1DH_EUEldsFhmW_TQ,http://www.youtube.com/channel/UCQLgTk1DH_EUEldsFhmW_TQ,Retro Core
